6.874010289763076287e+01 3.576719125574722113e+01
6.640829598568889480e+01 1.195157861975068272e+02
4.092884180712052178e+00 4.811233653896874074e+01
1.902005020523655503e+02 5.016141248655961959e+01
9.395789421581956447e+01 9.989302780869145693e+01
1.892548022286980824e+02 1.921886671680592684e+01
1.544887707554479732e+02 2.993361704673884294e+00
1.889061694835220067e+02 1.412778629086526223e+02
1.199037076250052252e+02 1.600061866038100220e+02
2.144984245942964094e+02 7.797497977704114192e+01
