378.000 483.000 320.000 629.000 484.000 352.000 405.000 658.000 628.000 519.000 19.442 21.977 17.889 25.080 22.000 18.762 20.125 25.652 25.060 22.782
369.000 470.000 313.000 620.000 495.000 349.000 404.000 685.000 650.000 511.000 19.209 21.679 17.692 24.900 22.249 18.682 20.100 26.173 25.495 22.605
332.000 431.000 285.000 566.000 470.000 315.000 370.000 621.000 604.000 502.000 18.221 20.761 16.882 23.791 21.679 17.748 19.235 24.920 24.576 22.405
356.000 451.000 298.000 591.000 478.000 335.000 370.000 669.000 638.000 515.000 18.868 21.237 17.263 24.310 21.863 18.303 19.235 25.865 25.259 22.694
378.000 503.000 325.000 639.000 506.000 353.000 409.000 701.000 648.000 534.000 19.442 22.428 18.028 25.278 22.494 18.788 20.224 26.476 25.456 23.108
361.000 460.000 293.000 607.000 482.000 326.000 365.000 643.000 599.000 493.000 19.000 21.448 17.117 24.637 21.954 18.055 19.105 25.357 24.474 22.204
373.000 470.000 307.000 605.000 465.000 326.000 387.000 647.000 636.000 535.000 19.313 21.679 17.521 24.597 21.564 18.055 19.672 25.436 25.219 23.130
351.000 472.000 302.000 606.000 491.000 346.000 373.000 636.000 605.000 495.000 18.735 21.726 17.378 24.617 22.159 18.601 19.313 25.219 24.597 22.249
383.000 482.000 317.000 631.000 475.000 351.000 399.000 640.000 613.000 543.000 19.570 21.954 17.804 25.120 21.794 18.735 19.975 25.298 24.759 23.302
350.000 426.000 292.000 579.000 458.000 318.000 377.000 639.000 582.000 495.000 18.708 20.640 17.088 24.062 21.401 17.833 19.416 25.278 24.125 22.249
